Year,Mo,Dy,Tsunami Event Validity,Maximum Water Height (m),Total Deaths,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged,Country
1946,11,13,3,,,,,,RUSSIA
1946,12,20,4,6.6,1362,,11661,,JAPAN
1947,1,,-1,,,,,,USA
1947,3,25,3,10,,,,,NEW ZEALAND
1947,5,17,4,6,,,,,NEW ZEALAND
1947,10,6,3,1,3,,7000,,GREECE
1947,11,4,4,2,,,,,JAPAN
1948,1,24,3,,74,3.5,,,PHILIPPINES
1948,2,9,4,7.3,,,,,GREECE
1948,4,17,4,0.6,,,,,JAPAN
1948,4,22,4,1,2,,244,2022,GREECE
1948,5,23,2,3,,,,,CHINA
1948,6,1,3,,,,,,INDONESIA
1948,9,8,4,2,,,,,TONGA
1948,12,3,2,5,4,,,,MEXICO
1948,12,26,3,,,,,,CHILE
1949,1,27,4,,,,,,RUSSIA
1949,2,9,1,,,,,,GREECE
1949,4,13,3,,8,25,,,USA
1949,4,16,4,2.4,,,,,USA
1949,4,20,2,,,,,,CHILE
1949,5,9,2,,,,,,INDONESIA
1949,7,23,3,2,7,,534,5501,GREECE
1949,7,27,0,19.81,,,,,USA
1949,8,22,4,0.61,,,,,CANADA
1949,9,5,0,0.1,,,,,PHILIPPINES
1949,9,27,-1,,,,,,USA
1949,10,19,4,0.3,,,,,PAPUA NEW GUINEA
1949,12,17,1,,1,,,,CHILE
1949,12,17,2,,3,,,,CHILE
1949,12,29,1,,16,,,,PHILIPPINES
1950,1,30,1,,,,,,CHILE
1950,3,14,2,,,,,,NEW ZEALAND
1950,4,30,0,,,,,,PANAMA
1950,8,3,2,,100,,,,VENEZUELA
1950,8,15,0,0.5,1530,20,,,INDIA
1950,10,5,4,0.1,,,,,COSTA RICA
1950,10,8,3,,1,,,,INDONESIA
1950,10,8,1,,,,,,NORWAY
1950,10,23,4,0.2,,,,,GUATEMALA
1950,11,8,3,1.2,,,,,SOLOMON ISLANDS
1950,12,2,3,2.5,,,,,VANUATU
1950,12,10,2,0.7,4,,,,PERU
1950,12,14,4,0.3,,,,,MEXICO
1951,2,22,2,6,,,,,PAPUA NEW GUINEA
1951,2,23,0,3,,0.003,,,USA
1951,8,3,1,,,,,,NICARAGUA
1951,8,21,4,3.6,,,,,USA
1951,10,22,4,0.3,68,,2382,,TAIWAN
1951,12,21,0,2,,,,,CHINA
1951,12,22,3,,,,,,SOLOMON ISLANDS
1952,1,9,4,2,,,,,NORWAY
1952,3,4,4,6.54,33,,2422,,JAPAN
1952,3,9,4,0.3,,,113,,JAPAN
1952,3,17,4,3,,,,,USA
1952,3,19,4,0.33,,,,,PHILIPPINES
1952,4,10,0,19.81,,,,,USA
1952,5,6,0,1.52,,,,,USA
1952,5,13,2,0.1,,,,,COSTA RICA
1952,7,13,2,,,,,,VANUATU
1952,9,16,4,0.15,,,,,JAPAN
1952,9,23,4,0.05,,,,,JAPAN
1952,9,24,4,0.15,31,,,,JAPAN
1952,9,26,4,0.1,,,,,JAPAN
1952,10,13,0,,,,,,USA
1952,11,4,4,23,10000,1,,,RUSSIA
1952,,,3,,1,,,,GREENLAND
1953,2,14,0,,,,,,USA
1953,2,15,2,0.7,,,,,PERU
1953,2,16,0,4.8,,,,,USA
1953,3,11,4,6,,,,,JAPAN
1953,3,17,3,3,,,,,RUSSIA
1953,3,25,4,0.05,,,,,JAPAN
1953,4,23,1,,,0.013,,,PAPUA NEW GUINEA
1953,5,6,1,,9,500,,,CHILE
1953,5,31,2,0.06,,,,,DOMINICAN REPUBLIC
1953,6,27,3,,,,,,PAPUA NEW GUINEA
1953,8,12,2,,476,100,27773,,GREECE
1953,8,19,0,,,,,,USA
1953,9,10,3,,40,,500,,CYPRUS
1953,9,14,4,15,7,,,,FIJI
1953,11,14,1,2.4,1,,,,AUSTRALIA
1953,11,25,4,3,1,,,,JAPAN
1953,12,12,4,1,6,,200,,PERU
1954,1,21,3,1,,,,,ARGENTINA
1954,2,11,0,,,,,,CHINA
1954,2,,4,,,,,,ITALY
1954,6,26,0,3,7,,,,USA
1954,9,9,4,0.33,1243,6,20000,,ALGERIA
1954,10,,2,18.28,,,,,GREENLAND
1954,11,18,4,,,,,,JAPAN
1955,1,18,2,,,,,,VENEZUELA
1955,4,19,3,,8,,459,8352,GREECE
1955,4,19,4,1,1,,,,CHILE
1955,5,17,2,,,,,,INDIA
1955,9,8,3,,,,,,PAPUA NEW GUINEA
1955,9,23,0,1,,,,,CHINA
1955,10,10,3,,,,,,PAPUA NEW GUINEA
1956,1,8,1,,,,,,CHILE
1956,3,2,0,0.9,,,,,NEW ZEALAND
1956,3,5,4,0.4,,,,,JAPAN
1956,3,30,2,0.3,,,,,RUSSIA
1956,7,9,4,30,56,,,,GREECE
1956,7,9,3,10,,,,,GREECE
1956,8,12,-1,,,,,,JAPAN
1956,11,2,2,1.2,,,,,GREECE
1956,12,18,1,,,,,,CHILE
1957,3,9,4,32,2,,,,USA
1957,6,22,3,1.8,,,,,INDONESIA
1957,7,28,4,1.3,65,25,,,MEXICO
1957,7,29,1,,,,,,CHILE
1957,9,26,3,0.7,,,,,INDONESIA
1957,10,26,2,,,,,,INDONESIA
1957,11,1,-1,0.1,,,,,USA
1957,11,,2,2.7,,,,,SOLOMON ISLANDS
1958,1,19,4,,115,,,,ECUADOR
1958,2,7,0,,,,,,CHINA
1958,4,9,-1,,,,,,PERU
1958,4,21,2,,,,,,INDONESIA
1958,7,10,4,524.6,5,0.1,,,USA
1958,9,17,2,0.23,,,,,RUSSIA
1958,10,7,1,,,,,,VANUATU
1958,11,4,1,0.1,,,,,PACIFIC OCEAN
1958,11,6,4,5,,,,,RUSSIA
1958,11,12,2,1,,,,,RUSSIA
1959,1,22,4,0.8,,,,,JAPAN
1959,2,7,1,0.4,,,,,PERU
1959,2,23,1,1,,,,,GREECE
1959,4,9,2,0.1,,,,,RUSSIA
1959,5,4,4,0.2,,,,,RUSSIA
1959,5,7,4,4,9,,,,NORWAY
1959,8,17,4,1,,,,,SOLOMON ISLANDS
1959,8,18,0,1,28,11,,,USA
1959,10,26,4,0.11,,,,,JAPAN
1960,1,13,1,5.7,,,,,PERU
1960,2,29,1,,13100,120,,,MOROCCO
1960,3,20,4,1,,,,,JAPAN
1960,3,23,4,0.75,,,,,JAPAN
1960,5,21,4,0.5,,,,,CHILE
1960,5,22,4,25,2226,1000,58622,,CHILE
1960,5,24,-1,,,,,,CHILE
1960,6,11,3,,,,,,PAPUA NEW GUINEA
1960,7,29,4,0.3,,,,,JAPAN
1960,11,1,1,,,,,,CHILE
1960,11,20,3,9,66,0.55,,,PERU
1961,1,16,4,0.4,,,,,JAPAN
1961,1,16,4,0.4,,,,,JAPAN
1961,1,16,4,0.4,,,,,JAPAN
1961,2,12,4,1,,,,,RUSSIA
1961,2,26,4,0.65,2,,170,,JAPAN
1961,3,18,2,3.6,,,,,SOLOMON ISLANDS
1961,5,23,2,,,,,,TURKEY
1961,6,6,1,0.9,,,,,ITALY
1961,6,16,0,,,,,,COLOMBIA
1961,7,18,4,0.2,,,,,JAPAN
1961,7,23,3,0.9,,,,,VANUATU
1961,8,1,2,0.9,,,,,SOLOMON ISLANDS
1961,8,11,4,0.1,,,,,JAPAN
1961,10,18,1,,,,,,CHILE
1961,10,18,1,,,,,,CHILE
1961,11,15,4,0.1,,,,,JAPAN
1962,1,11,3,0.04,,,,,CROATIA
1962,3,12,3,0.1,,,,,PANAMA
1962,4,12,4,1,,,,,JAPAN
1962,4,23,4,0.1,,,,,JAPAN
1962,5,11,4,0.81,4,,,,MEXICO
1962,5,19,3,0.34,3,,,,MEXICO
1962,5,21,2,0.1,,,,,JAPAN
1962,5,28,1,,,,,,GREECE
1962,12,21,1,,,,,,USA
1963,2,7,4,6,2,,,,GREECE
1963,2,13,4,0.2,15,,,,TAIWAN
1963,3,28,3,5.5,1,,,,CANADA
1963,3,30,2,,1028,,,,INDONESIA
1963,9,18,4,1,1,,7,163,TURKEY
1963,9,24,2,,1,,,,PERU
1963,10,9,0,235,2000,,,,ITALY
1963,10,12,4,0.12,,,,,RUSSIA
1963,10,13,4,4.5,,,,,RUSSIA
1963,10,20,4,15,,,,,RUSSIA
1963,12,16,2,,,,,,INDONESIA
1963,12,18,2,,,,,,TONGA
1964,3,20,2,0.08,,,,,USA
1964,3,28,4,51.8,139,400,,,USA
1964,4,2,3,,,,,,INDONESIA
1964,5,7,4,0.6,,,,,JAPAN
1964,5,7,3,,,,,,JAPAN
1964,5,19,3,0.28,,,,,USA
1964,6,16,4,5.8,26,80,2250,,JAPAN
1964,7,24,4,0.08,,,,,RUSSIA
1964,11,17,3,0.05,,,,,PAPUA NEW GUINEA
1964,12,10,4,0.1,,,,,JAPAN
1965,1,24,4,,71,,3000,,INDONESIA
1965,2,4,4,10.7,,0.01,,,USA
1965,2,19,0,60,27,,,,CHILE
1965,2,23,1,,,,,,CHILE
1965,3,9,3,,38,8,,,GREECE
1965,3,22,1,,,,,,CHILE
1965,3,30,4,0.1,,,,,USA
1965,4,19,-1,0.1,,,,,JAPAN
1965,6,11,4,0.1,,,,,RUSSIA
1965,7,2,4,0.08,,,,,USA
1965,7,6,1,,2,,,,GREECE
1965,8,11,4,7,,,,,VANUATU
1965,8,13,2,2,,,,,VANUATU
1965,8,23,4,0.4,6,,,,MEXICO
1965,9,28,4,4.7,355,,,,PHILIPPINES
1965,10,3,2,,,,,,CHILE
1965,10,24,1,,,,,,GRENADA
1966,3,12,3,0.1,7,,,,TAIWAN
1966,5,8,4,,,,,,NORWAY
1966,6,15,3,0.2,,,,,SOLOMON ISLANDS
1966,7,12,4,0.2,,,,,RUSSIA
1966,10,17,4,3,110,35,,,PERU
1966,11,28,1,,,,,,SOLOMON ISLANDS
1966,12,28,4,0.42,3,0.4,,,CHILE
1966,12,31,4,2,,,,,SOLOMON ISLANDS
1966,12,31,4,0.8,,,,,SOLOMON ISLANDS
1966,,,3,,,,,,SOLOMON ISLANDS
1967,3,19,1,,,,,,RUSSIA
1967,4,11,3,,71,,,,INDONESIA
1967,4,12,3,,14,,2000,,INDONESIA
1967,7,30,4,0.08,300,140,,,VENEZUELA
1967,8,13,4,0.1,,,,,PAPUA NEW GUINEA
1967,9,3,2,2,,,,,PERU
1967,10,,0,60,,,,,USA
1967,11,15,1,,,,,,CHILE
1967,12,4,1,1,,,,,ANTARCTICA
1967,12,4,0,,,,80,,USA TERRITORY
1967,12,21,3,,1,,,,CHILE
1968,1,29,4,0.18,,,,,RUSSIA
1968,2,19,4,1.2,20,0.6,500,1951,GREECE
1968,4,1,4,3.07,1,,,,JAPAN
1968,4,18,4,3,,,,,ITALY
1968,5,4,3,,,,,,CHILE
1968,5,16,4,6,52,131,1218,,JAPAN
1968,5,16,4,0.58,,,,,JAPAN
1968,6,12,4,0.95,,,,,JAPAN
1968,7,25,2,0.05,,,,,NEW ZEALAND
1968,8,1,4,0.16,270,8,,,PHILIPPINES
1968,8,5,1,0.03,,,,,JAPAN
1968,8,10,4,0.4,,,,,INDONESIA
1968,8,14,4,10,200,,800,,INDONESIA
1968,9,3,4,3,24,,2000,,TURKEY
1968,9,20,2,,3,,,,VENEZUELA
1968,9,25,1,2,15,,,,MEXICO
1969,2,23,4,4,664,,1287,,INDONESIA
1969,2,28,4,0.9,25,,,,PORTUGAL
1969,3,21,2,,3,,,,PHILIPPINES
1969,3,31,3,,2,,107,,EGYPT
1969,4,12,0,5,,,,,SWEDEN
1969,4,21,4,0.1,,,,,JAPAN
1969,7,17,4,0.06,,,,,ATLANTIC OCEAN
1969,7,18,4,0.1,10,,15190,24810,CHINA
1969,8,2,4,,,,,,PAPUA NEW GUINEA
1969,8,11,4,5,,,,,RUSSIA
1969,8,27,3,2.9,,,,,SOUTH AFRICA
1969,11,22,4,15,,,,,RUSSIA
1969,12,25,4,0.46,,,,,GUADELOUPE (FRENCH TERRITORY)
1970,1,10,4,0.06,,,,,PHILIPPINES
1970,3,11,4,0.03,,,,,USA
1970,4,7,3,,15,,,,PHILIPPINES
1970,5,14,3,,,,,,RUSSIA
1970,5,31,4,0.46,66794,530,,,PERU
1970,6,14,2,,,,,,CHILE
1970,6,19,2,,,,,,CHILE
1970,7,25,4,0.32,,,,,JAPAN
1970,9,28,2,1,,,,,NEW ZEALAND
1970,9,30,3,,,,,,PHILIPPINES
1970,10,31,4,3,18,1.75,800,,PAPUA NEW GUINEA
1970,11,28,2,,,,,,CHILE
1970,12,4,4,0.8,,,,,RUSSIA
1971,3,19,0,30,600,,,,PERU
1971,5,2,4,0.04,,,,,USA
1971,7,9,4,1.2,83,236.4,,,CHILE
1971,7,14,4,6,3,,,,PAPUA NEW GUINEA
1971,7,26,4,10,,,,,PAPUA NEW GUINEA
1971,8,2,4,0.51,,,,,JAPAN
1971,9,5,4,2,,,,,RUSSIA
1971,9,6,4,0.32,,,,,RUSSIA
1971,9,6,4,,,,,,SOLOMON ISLANDS
1971,9,8,4,0.09,,,,,RUSSIA
1971,9,8,4,0.07,,,,,RUSSIA
1971,9,25,2,1.8,,,,,PAPUA NEW GUINEA
1971,9,27,4,0.03,,,,,RUSSIA
1971,11,6,2,0.1,,,,,USA
1971,12,15,4,0.47,,,,,RUSSIA
1972,1,25,4,0.05,1,,5,,TAIWAN
1972,2,29,4,0.42,,,,,JAPAN
1972,6,8,2,,,,,,CHILE
1972,7,30,4,0.1,,,,,USA
1972,8,17,4,0.6,,,,,PAPUA NEW GUINEA
1972,8,26,3,1.5,,,,,PAPUA NEW GUINEA
1972,9,6,-1,,,,,,JAPAN
1972,10,9,2,,,,,,PAPUA NEW GUINEA
1972,12,2,2,0.5,,,,,PHILIPPINES
1972,12,4,4,0.5,,,,,JAPAN
1972,12,29,2,,,,,,CHILE
1973,1,30,4,1.13,56,,,,MEXICO
1973,2,28,4,1.5,,,,,RUSSIA
1973,3,17,4,1.3,15,0.45,,,PHILIPPINES
1973,6,17,4,5.96,,5,2,,JAPAN
1973,6,24,4,0.64,,,,,RUSSIA
1973,6,26,4,0.21,,,,,RUSSIA
1973,10,5,4,0.4,,,,,CHILE
1973,12,,1,,2,,,,INDONESIA
1974,1,31,4,1.5,,,,,SOLOMON ISLANDS
1974,2,1,4,4.5,,,,,SOLOMON ISLANDS
1974,5,8,4,0.2,30,,134,,JAPAN
1974,8,18,1,,,,,,CHILE
1974,9,27,4,0.37,,,,,RUSSIA
1974,10,3,4,0.92,78,10,,,PERU
1974,10,17,4,2.8,,,,,CANADA
1974,10,17,4,0.5,,,,,PAPUA NEW GUINEA
1974,12,28,0,,5300,3.255,,,PAKISTAN
1975,1,15,1,,,,81,,INDONESIA
1975,3,13,1,,2,,,,CHILE
1975,4,27,4,4.1,,,,,CANADA
1975,5,26,4,0.5,,,,,ATLANTIC OCEAN
1975,6,10,4,5.5,,,,,RUSSIA
1975,7,20,4,2,,,,,PAPUA NEW GUINEA
1975,10,31,4,3,1,,30,,PHILIPPINES
1975,11,29,4,14.3,2,4,,,USA
1975,12,16,3,0.25,,,,,FIJI
1975,12,26,4,0.38,,,,,SAMOA
1976,1,14,4,0.9,,,,,NEW ZEALAND
1976,1,21,4,0.38,,,,,RUSSIA
1976,2,4,4,0.12,23000,2147,,,GUATEMALA
1976,7,11,1,,5,,,,PANAMA
1976,8,16,4,9,8000,134,,,PHILIPPINES
1977,4,2,4,0.08,,,,,SAMOA
1977,4,20,4,0.15,34,,,,SOLOMON ISLANDS
1977,4,20,4,,,,,,SOLOMON ISLANDS
1977,4,21,4,0.04,18,,,,SOLOMON ISLANDS
1977,6,22,4,0.4,1,1.2,,,TONGA
1977,8,19,4,15,189,1.2,,,INDONESIA
1977,8,20,-1,0.5,,,,,PAPUA NEW GUINEA
1977,8,28,2,0.6,,,,,PAPUA NEW GUINEA
1977,10,10,2,0.03,,,,,TONGA
1978,1,14,4,0.35,25,,85,544,JAPAN
1978,3,22,4,0.07,,,,,RUSSIA
1978,3,22,4,0.05,,,,,RUSSIA
1978,3,23,4,0.17,,,,,RUSSIA
1978,3,23,4,0.3,,,,,RUSSIA
1978,3,24,4,0.65,,,,,RUSSIA
1978,6,12,4,0.6,28,865,,,JAPAN
1978,6,12,-1,,,,,,INDIA
1978,6,14,3,0.03,,,,,PHILIPPINES
1978,6,20,2,0.45,50,250,,,GREECE
1978,6,21,2,0.6,,,,,ITALY
1978,7,23,3,0.05,,,,,TAIWAN
1978,8,14,4,0.12,,,,,SPAIN
1978,10,10,4,,,,,,NEW ZEALAND
1978,11,29,2,1.5,9,,,,MEXICO
1978,,,1,3,,,,,VIETNAM
1979,2,20,4,0.12,,,,,JAPAN
1979,2,28,4,0.15,,,,,USA
1979,3,14,4,1.3,5,30,200,,MEXICO
1979,3,31,3,4.8,3,,,,JAPAN
1979,4,9,1,,,,,,MONTENEGRO
1979,4,15,4,0.6,131,2700,,,MONTENEGRO
1979,5,15,0,,,,,,GREECE
1979,7,18,4,9,1239,,,,INDONESIA
1979,8,9,-1,,,,,,INDONESIA
1979,9,3,2,,,,,,VENEZUELA
1979,9,12,4,2,115,,1000,,INDONESIA
1979,10,6,4,2,,,,,NORWAY
1979,10,16,4,10,9,,,,FRANCE
1979,11,16,2,,,,,,FIJI
1979,12,12,4,6,600,8,10000,,COLOMBIA
1980,1,1,4,0.41,69,5,15000,,PORTUGAL
1980,2,23,4,0.16,,,,,RUSSIA
1980,5,18,0,250,61,,,,USA
1980,5,22,3,,,,,,PORTUGAL
1980,6,29,4,0.56,,,,,JAPAN
1980,7,17,4,0.14,,,,,SOLOMON ISLANDS
1980,10,10,4,0.7,5000,5200,250000,,ALGERIA
1981,1,18,4,0.37,,,,,JAPAN
1981,2,24,4,0.3,22,812,8000,,GREECE
1981,3,4,3,1,,,,,GREECE
1981,5,11,2,0.29,,,,,SOUTH AFRICA
1981,5,25,4,0.3,,,,,NEW ZEALAND
1981,9,1,4,1,,,,,SAMOA
1981,10,20,3,2,,,,,INDONESIA
1981,10,25,4,0.09,3,,,,MEXICO
1982,1,11,2,0.1,,,,,PHILIPPINES
1982,2,24,2,,,,,,INDONESIA
1982,3,11,1,0.1,,,,,INDONESIA
1982,3,21,4,1.3,110,1,,,JAPAN
1982,7,23,4,0.4,,,,,JAPAN
1982,12,19,4,0.2,,,,,TONGA
1982,12,25,-1,,13,1.45,1875,,INDONESIA
1982,12,28,4,0.19,,,,,JAPAN
1983,1,17,3,,,,,,GREECE
1983,3,12,4,3,,,,,INDONESIA
1983,3,18,4,0.13,,,,,PAPUA NEW GUINEA
1983,5,26,4,14.93,104,800,3513,,JAPAN
1983,6,9,4,0.6,,,,,JAPAN
1983,6,21,4,1,,,,,JAPAN
1983,8,6,2,,,,,,GREECE
1983,8,17,4,0.1,,,,,RUSSIA
1983,8,17,4,0.1,16,,,,PHILIPPINES
1983,8,17,1,,,,,,INDONESIA
1983,8,18,4,7,,,,,NORWAY
1983,10,4,4,0.2,5,1,40,,CHILE
1983,11,30,4,1.5,,,,,UK TERRITORY
1984,1,8,1,,2,0.5,,685,INDONESIA
1984,2,11,4,,,,,,GREECE
1984,3,24,4,0.2,,,,,RUSSIA
1984,6,13,4,0.5,,,,,JAPAN
1984,8,6,4,0.2,,,,,JAPAN
1984,8,15,3,5,37,,,,CAMEROON
1984,9,18,4,0.13,,,,,JAPAN
1984,12,28,4,0.2,,,,,RUSSIA
1985,3,3,4,3.5,180,1500,,,CHILE
1985,3,16,4,0.12,,,,,GUADELOUPE (FRENCH TERRITORY)
1985,4,13,2,2,,,,,INDONESIA
1985,7,3,4,1.3,,1,,,PAPUA NEW GUINEA
1985,9,19,4,3,9500,4000,,,MEXICO
1985,9,21,4,1.2,,,,,MEXICO
1986,5,7,4,0.9,,,,,USA
1986,5,17,1,,,,,,USA
1986,8,21,4,75,1700,,,,CAMEROON
1986,10,20,4,0.22,,,,,NEW ZEALAND
1986,11,14,4,0.3,15,,,,TAIWAN
1987,2,6,4,0.1,,,,,JAPAN
1987,2,8,4,1.5,3,2.625,,,PAPUA NEW GUINEA
1987,2,21,4,3,,,,,NORWAY
1987,3,5,4,0.2,1,,,,CHILE
1987,3,18,4,0.04,2,,,,JAPAN
1987,3,24,4,0.16,,,,,JAPAN
1987,5,20,4,,,,,,NEW ZEALAND
1987,6,18,1,,,,,,SOLOMON ISLANDS
1987,7,6,3,0.1,,,,,VANUATU
1987,10,6,4,0.25,,,,,TONGA
1987,10,12,4,0.04,,,,,PAPUA NEW GUINEA
1987,10,16,4,0.07,,,,,PAPUA NEW GUINEA
1987,11,17,4,0.06,,,,,USA
1987,11,26,-1,0.1,,,,,INDONESIA
1987,11,30,4,0.43,,,,,USA
1988,2,5,4,0.1,,,,,CHILE
1988,3,6,4,0.19,,0.005,,,USA
1988,4,20,4,2,,,,,ITALY
1988,4,30,-1,,,,,,USA
1988,6,24,4,1.03,,,,,PHILIPPINES
1988,7,5,4,,,,,,PAPUA NEW GUINEA
1988,8,6,0,,5,,,,BANGLADESH
1988,8,10,4,0.09,1,,100,,SOLOMON ISLANDS
1988,8,20,0,,998,131.5,,,BANGLADESH
1989,5,23,4,0.15,,,,,AUSTRALIA
1989,6,26,4,0.29,,,,,USA
1989,9,4,4,0.1,,,,,USA
1989,10,18,4,1,62,5600,,,USA
1989,10,29,4,0.11,,,,,JAPAN
1989,10,29,2,,30,5,,,ALGERIA
1989,11,1,3,0.1,,,,,USA TERRITORY
1989,11,1,3,0.9,,,,,JAPAN
1990,2,8,4,2.1,,0.9,,600,PHILIPPINES
1990,2,20,4,0.16,,,,,JAPAN
1990,3,25,4,1,,,8,34,COSTA RICA
1990,4,5,4,1.8,,,,,USA TERRITORY
1990,5,,1,5,,,,,PHILIPPINES
1990,6,20,3,2,40000,7200,100000,,IRAN
1990,9,23,4,0.2,,,,,JAPAN
1990,12,13,4,0.1,19,500,,,ITALY
1990,12,13,4,0.04,,,,,TAIWAN
1991,1,4,1,,,,,,GREECE
1991,2,9,4,0.02,,,,,SOLOMON ISLANDS
1991,2,16,4,0.1,,,,,RUSSIA
1991,2,21,4,0.15,,,,,USA
1991,4,22,4,3,90,510,,,COSTA RICA
1991,5,7,1,0.5,,,,,GREECE
1991,10,14,4,0.15,,,,,SOLOMON ISLANDS
1991,12,22,1,0.52,,,,,RUSSIA
1992,1,5,4,0.8,,,,,CHINA
1992,4,25,4,1.8,,66,,,USA
1992,5,17,4,6,,,12,,PHILIPPINES
1992,5,27,4,,,,,,SOLOMON ISLANDS
1992,7,3,2,3,,,,,USA
1992,7,18,4,0.3,,,,,JAPAN
1992,8,11,1,,,,,,JAPAN
1992,9,2,4,9.9,170,30,1500,,NICARAGUA
1992,12,12,4,26.2,2500,100,31785,,INDONESIA
1993,2,7,4,0.5,,,,,JAPAN
1993,3,12,3,,5,,,,WALLIS AND FUTUNA (FRENCH TERRITORY)
1993,6,8,4,0.1,,,,,RUSSIA
1993,6,18,1,,,,,,NEW ZEALAND
1993,7,12,4,32,231,1207,2374,,JAPAN
1993,8,7,4,0.16,,,,,JAPAN
1993,8,8,4,2.4,,250,,,USA TERRITORY
1993,11,13,4,0.05,,,,,RUSSIA
1994,1,4,1,1.5,,,,,USA
1994,1,17,3,0.1,60,40000,40000,,USA
1994,1,21,4,2,9,,,550,INDONESIA
1994,2,15,-1,,,,,,INDONESIA
1994,4,8,4,0.11,,,,,JAPAN
1994,4,28,4,4,,,,,NORWAY
1994,5,24,1,0.02,,,,,TAIWAN
1994,6,2,4,13.9,238,2.2,1500,,INDONESIA
1994,6,3,4,3.7,,,,,INDONESIA
1994,6,4,2,,,,,,INDONESIA
1994,6,5,4,3,,,,,INDONESIA
1994,9,1,4,0.07,,,,,USA
1994,9,16,4,0.24,1,,,,TAIWAN
1994,9,19,4,3,4,86,,,PAPUA NEW GUINEA
1994,10,4,4,10.4,11,,,,RUSSIA
1994,10,8,4,3,1,,,500,INDONESIA
1994,10,9,4,0.2,,,,,RUSSIA
1994,11,4,4,9,1,25,,,USA
1994,11,14,4,7.3,81,3.7,797,3288,PHILIPPINES
1994,12,28,4,0.53,3,170.4,,,JAPAN
1994,,,3,0.5,,,,,RUSSIA
1995,1,16,4,0.34,5502,100000,200000,,JAPAN
1995,4,7,4,0.09,,,,,SAMOA
1995,4,21,4,0.2,,,,,PHILIPPINES
1995,4,21,4,0.2,,,,,PHILIPPINES
1995,5,13,-1,,,,,,GREECE
1995,5,14,4,4,11,,,,INDONESIA
1995,5,16,4,0.5,,,,,NEW CALEDONIA
1995,5,27,4,0.1,1989,300,,,RUSSIA
1995,6,15,4,1,26,660,,,GREECE
1995,7,30,4,3,3,1.791,115,,CHILE
1995,8,16,4,0.28,,,,,PAPUA NEW GUINEA
1995,9,14,3,0.4,3,,,,MEXICO
1995,10,9,4,11,50,,,,MEXICO
1995,10,18,4,2.59,,,,,JAPAN
1995,10,19,4,1.5,,,,,JAPAN
1995,11,1,4,0.1,,,,,CHILE
1995,11,22,4,4,11,,,,EGYPT
1995,12,3,4,1.1,,,,,RUSSIA
1996,1,1,4,3.43,9,1.2,400,,INDONESIA
1996,1,1,4,2,,,,,GREECE
1996,1,2,4,30,,,,,RUSSIA
1996,2,17,4,7.7,164,4.2,5043,,INDONESIA
1996,2,21,4,5.04,12,,15,22,PERU
1996,2,25,4,0.1,,,,,MEXICO
1996,4,24,0,0.5,,,,,SWITZERLAND
1996,6,10,4,0.51,,,,,USA
1996,6,10,4,0.18,,,,,USA
1996,9,4,4,0.3,,,,,JAPAN
1996,9,5,4,0.09,,,,,CHILE
1996,9,5,4,0.11,,,,,TAIWAN
1996,10,18,4,0.2,,,,,JAPAN
1996,10,19,4,0.55,,,,,JAPAN
1996,11,12,4,0.4,14,,,4000,PERU
1996,12,2,4,0.2,,,,,JAPAN
1997,3,12,3,2,,,,,NEW CALEDONIA
1997,4,10,1,15,,0.3,,,HONDURAS
1997,4,18,1,,,,,,AUSTRALIA
1997,4,21,4,3,,,7,,SOLOMON ISLANDS
1997,7,9,3,,81,81,,,VENEZUELA
1997,9,30,4,0.03,,,,,JAPAN
1997,10,14,4,0.1,,,,,TONGA
1997,12,5,4,8,,,,,RUSSIA
1997,12,14,3,8,,,,,RUSSIA
1997,12,26,4,3,,,,,MONTSERRAT
1998,3,19,4,6,,,,,NORWAY
1998,3,25,3,0.01,,,,,ANTARCTICA
1998,5,3,4,0.13,,,,,TAIWAN
1998,5,30,4,0.01,,,,,JAPAN
1998,7,17,4,15.03,1636,,,,PAPUA NEW GUINEA
1998,11,29,2,2.75,41,200,1000,,INDONESIA
1999,1,20,4,2,,,,,MONTSERRAT
1999,8,17,4,2.52,17118,20000,,50000,TURKEY
1999,9,13,4,8,,,,,FRENCH POLYNESIA
1999,11,26,4,6.6,10,,,,VANUATU
2000,1,26,-1,20,,,300,,PHILIPPINES
2000,4,5,4,0.5,,,,,GREECE
2000,5,4,4,6,46,30,10000,,INDONESIA
2000,6,18,4,0.3,,,,,AUSTRALIA
2000,7,1,4,0.07,1,,,,JAPAN
2000,7,15,4,0.07,,,,20,JAPAN
2000,7,30,4,0.14,,,,,JAPAN
2000,11,4,1,4.6,,,,,USA
2000,11,16,4,3,2,,,,PAPUA NEW GUINEA
2000,11,21,4,50,,,,,GREENLAND
2000,,,3,,,,,,RUSSIA
2001,1,13,3,0.25,844,753,108226,169632,EL SALVADOR
2001,6,23,4,8.8,103,200,25399,,PERU
2001,10,12,4,0.11,,,,,CANADA
2001,12,18,4,0.16,,,,,TAIWAN
2002,1,2,4,3,,,,,VANUATU
2002,3,5,4,3,15,1.714,,800,PHILIPPINES
2002,3,24,3,4,,,,,GREECE
2002,3,26,3,0.05,,,,,JAPAN
2002,3,31,4,0.2,5,,100,,TAIWAN
2002,9,8,4,5.5,4,,,873,PAPUA NEW GUINEA
